REQUEST | 2026-05-27 16:01:22 | admin | URL=/ | GET
RESPONSE | 2026-05-27 16:01:22 | admin | URL=/ | 200 
REQUEST | 2026-05-27 16:01:23 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:01:23 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:01:26 | admin | URL=/reservation/book_a_table/7 | GET 
RESPONSE | 2026-05-27 16:01:26 | admin | URL=/reservation/book_a_table/7 | 200 
REQUEST | 2026-05-27 16:01:27 | admin | URL=/tables/favorites | GET 
RESPONSE | 2026-05-27 16:01:27 | admin | URL=/tables/favorites | 200 
REQUEST | 2026-05-27 16:01:29 | admin | URL=/tables/favorites/43 | POST 
RESPONSE | 2026-05-27 16:01:29 | admin | URL=/tables/favorites/43 | 302 
REQUEST | 2026-05-27 16:01:29 | admin | URL=/tables/favorites | GET 
RESPONSE | 2026-05-27 16:01:29 | admin | URL=/tables/favorites | 200 
REQUEST | 2026-05-27 16:01:30 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:01:31 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:01:32 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:01:32 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:01:36 | admin | URL=/tables/favorites/42 | POST 
RESPONSE | 2026-05-27 16:01:36 | admin | URL=/tables/favorites/42 | 302 
REQUEST | 2026-05-27 16:01:36 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:01:36 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:01:38 | admin | URL=/tables/favorites/43 | POST 
RESPONSE | 2026-05-27 16:01:38 | admin | URL=/tables/favorites/43 | 302 
REQUEST | 2026-05-27 16:01:38 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:01:38 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:01:51 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:01:52 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:01:52 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:01:52 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:01:55 | admin | URL=/tables/?search=wdf&seats= | GET 
RESPONSE | 2026-05-27 16:01:55 | admin | URL=/tables/?search=wdf&seats= | 200 
REQUEST | 2026-05-27 16:02:01 | admin | URL=/tables/?search=wdf&seats=6 | GET 
RESPONSE | 2026-05-27 16:02:01 | admin | URL=/tables/?search=wdf&seats=6 | 200 
REQUEST | 2026-05-27 16:02:03 | admin | URL=/tables/?search=wdf&seats=6 | GET 
RESPONSE | 2026-05-27 16:02:03 | admin | URL=/tables/?search=wdf&seats=6 | 200 
REQUEST | 2026-05-27 16:02:04 | admin | URL=/tables/?search=wdf&seats=6 | GET 
RESPONSE | 2026-05-27 16:02:04 | admin | URL=/tables/?search=wdf&seats=6 | 200 
REQUEST | 2026-05-27 16:02:07 | admin | URL=/tables/?search=&seats=6 | GET 
RESPONSE | 2026-05-27 16:02:07 | admin | URL=/tables/?search=&seats=6 | 200 
REQUEST | 2026-05-27 16:02:14 | admin | URL=/tables/?page=2 | GET 
RESPONSE | 2026-05-27 16:02:14 | admin | URL=/tables/?page=2 | 200 
REQUEST | 2026-05-27 16:02:17 | admin | URL=/tables/?page=834 | GET 
RESPONSE | 2026-05-27 16:02:17 | admin | URL=/tables/?page=834 | 200 
REQUEST | 2026-05-27 16:02:18 | admin | URL=/tables/?page=1 | GET 
RESPONSE | 2026-05-27 16:02:19 | admin | URL=/tables/?page=1 | 200 
REQUEST | 2026-05-27 16:02:51 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:02:51 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:02:52 | admin | URL=/ | GET 
RESPONSE | 2026-05-27 16:02:52 | admin | URL=/ | 200 
REQUEST | 2026-05-27 16:02:54 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:02:54 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:02:55 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:02:55 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:02:56 | admin | URL=/tables/favorites | GET 
RESPONSE | 2026-05-27 16:02:56 | admin | URL=/tables/favorites | 200 
REQUEST | 2026-05-27 16:03:09 | admin | URL=/ | GET 
